,Oct_31_2020,Nov_30_2020,Dec_31_2020,Jan_31_2021,Feb_28_2021,Mar_31_2021,Apr_30_2021,May_31_2021,Jun_30_2021,Jul_31_2021,Aug_31_2021,Sep_30_2021,Oct_31_2021,Nov_30_2021,Dec_31_2021,Jan_31_2022,Feb_28_2022,Mar_31_2022,Apr_30_2022,May_31_2022,Jun_30_2022,Jul_31_2022,Aug_31_2022,Sep_30_2022,Oct_31_2022,Nov_30_2022,Dec_31_2022,Jan_31_2023,Feb_28_2023,Mar_31_2023,Apr_30_2023,May_31_2023,Jun_30_2023,Jul_31_2023
Sales,1861079.0583885335,2410597.6779057044,1559478.816830674,1559679.6825731113,2612043.296691355,1239163.815263491,2305639.0710082175,2489995.9544339804,3829732.5883596735,2548014.8716286654,1485843.4113817369,3906721.7931311103,3998822.028919682,5420148.022406731,3683224.079418754,4427566.66327129,1692786.165748125,4740614.276419468,3605704.7208025237,3315233.0999519005,2967412.663194888,3047286.4317429666,2805755.255105063,4491629.663584727,3159662.5824341336,3514025.973784968,2374111.2390122064,1446238.2848708215,1306363.284751872,2883401.389640701,3225472.4561305707,2658515.7265769127,3484511.881170764,1689425.780663578
Gross Margin,0.24434421724943406,0.20740875721966154,0.22540778857706353,0.14406384856392435,0.1510997372168179,0.19020842855472553,0.13344180642655035,0.21344568820333393,0.22007587052485136,0.14263886429868375,0.1937958442387345,0.1679560010434802,0.17032091990671813,0.151106936732239,0.14551733663882827,0.13816783214182804,0.2480153362985328,0.11492496295120586,0.16182847031963496,0.19298864309070024,0.15596421279240086,0.09403635011910857,0.14660186346848322,0.17747973028699587,0.19269424471115693,0.17951362426481185,0.21790860533466103,0.11297765376484387,0.2321981052294604,0.32042386943597156,0.27057548576918083,0.27989876169331224,0.21235629427643576,0.3020770815547681
EBITDA Margin (Unadjusted),0.09550824813078106,0.05182420675586292,0.024183937194752647,-0.07168237440145954,0.043095395526823906,-0.005337190021152207,0.015480820178551603,0.10438625689406776,0.12587312150805563,0.023280649267570865,-0.02708534912428072,0.06788326929584901,0.07901536910894742,0.07816764073340546,0.04892372790817321,0.043905867041007164,0.03740800214754885,0.0178842611999883,0.05290700913242034,0.023781719686766137,0.009120145146255896,-0.019818870746307164,0.03050418570370652,0.07030968243291506,0.09536619236126347,0.06153255584807713,0.08406633720906027,-0.14071683498348692,-0.011832056835554655,0.18020583637013568,0.1098553845776898,0.10026780743231717,0.08812830426891827,0.11495935125737249
EBITDA Margin,0.09550824813078106,0.05182420675586292,0.024183937194752647,-0.07168237440145954,0.043095395526823906,-0.005337190021152207,0.015480820178551603,0.10438625689406776,0.12587312150805563,0.023280649267570865,-0.02708534912428072,0.06788326929584901,0.07901536910894742,0.07816764073340546,0.04892372790817321,0.043905867041007164,0.03740800214754885,0.0178842611999883,0.05290700913242034,0.023781719686766137,0.009120145146255896,-0.019818870746307164,0.03050418570370652,0.07030968243291506,0.09536619236126347,0.06153255584807713,0.08406633720906027,-0.14071683498348692,-0.011832056835554655,0.18020583637013568,0.1098553845776898,0.10026780743231717,0.08812830426891827,0.11495935125737249
